ID,SMILES,Activities,Core,Core_MolSHAP,R1,R1_MolSHAP,R2,R2_MolSHAP,R3,R3_MolSHAP,R4,R4_MolSHAP,R5,R5_MolSHAP
179,CC1CCN(Cc2nn(-c3ccccc3)c3c2C(c2ccc(F)cc2F)C(NC(=O)c2cccc(C4CC4)c2)C(=O)N3C)CC1,7.8323974609375,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,C[*:1],0.1757170738318027,c1ccc([*:2])cc1,0.019977828343709394,CC1CCN(C[*:3])CC1,0.6098970884158287,Fc1ccc([*:4])c(F)c1,0.7599406083424884,O=C(c1cccc(C2CC2)c1)[*:5],1.6880081176757815
180,CN1C(=O)C(NC(=O)c2cccc(Br)c2)C(c2ccc(F)c([N+](=O)[O-])c2)c2c(CN3CCCCC3)nn(-c3ccccc3)c21,7.835723876953125,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,C[*:1],0.1757170738318027,c1ccc([*:2])cc1,0.019977828343709394,C1CCN(C[*:3])CC1,0.5284783751876266,O=[N+]([O-])c1cc([*:4])ccc1F,0.5691048526763915,O=C(c1cccc(Br)c1)[*:5],1.8003257226252902
181,CCN1C(=O)C(NC(=O)c2cccc(C(F)(F)F)c2)C(c2ccc(F)cc2)c2c(CN(C)C)nn(-c3ccccc3)c21,7.04583740234375,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,CC[*:1],0.15043917362045195,c1ccc([*:2])cc1,0.019977828343709394,CN(C)C[*:3],0.4559959882571374,Fc1ccc([*:4])cc1,0.3996398401260376,O=C(c1cccc(C(F)(F)F)c1)[*:5],1.8855750825670032
182,N=C(N)NCc1nn(-c2ccccc2)c2c1C(c1ccc(F)cc1)C(NC(=O)c1cccc(C(F)(F)F)c1)C(=O)N2C1CCC1,6.517059326171875,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,C1CC([*:1])C1,-0.09443451196719439,c1ccc([*:2])cc1,0.019977828343709394,N=C(N)NC[*:3],0.45158432148121014,Fc1ccc([*:4])cc1,0.3996398401260376,O=C(c1cccc(C(F)(F)F)c1)[*:5],1.8855750825670032
183,CN1CCN(Cc2nn(-c3ccccc3)c3c2C(c2ccc(F)cc2F)C(NC(=O)c2cccc(C(F)(F)F)c2)C(=O)N3C2CC2)CC1,7.6033935546875,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,C1CC1[*:1],0.23394702455532615,c1ccc([*:2])cc1,0.019977828343709394,CN1CCN(C[*:3])CC1,0.5518424658127772,Fc1ccc([*:4])c(F)c1,0.7599406083424884,O=C(c1cccc(C(F)(F)F)c1)[*:5],1.8855750825670032
184,CC(=O)NCc1nn(-c2ccccc2)c2c1C(c1ccc(F)cc1)C(NC(=O)c1cccc(C(F)(F)F)c1)C(=O)N2C,7.311126708984375,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,C[*:1],0.1757170738318027,c1ccc([*:2])cc1,0.019977828343709394,CC(=O)NC[*:3],0.6043846318751201,Fc1ccc([*:4])cc1,0.3996398401260376,O=C(c1cccc(C(F)(F)F)c1)[*:5],1.8855750825670032
185,CCN1C(=O)C(NC(=O)c2cccc(C3CC3)c2)C(c2ccc(F)cc2Br)c2c(CNC(C)=O)nn(-c3ccccc3)c21,7.35113525390625,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,CC[*:1],0.15043917362045195,c1ccc([*:2])cc1,0.019977828343709394,CC(=O)NC[*:3],0.6043846318751201,Fc1ccc([*:4])c(Br)c1,0.8025055789947508,O=C(c1cccc(C2CC2)c1)[*:5],1.6880081176757815
186,CC1CCN(Cc2nn(-c3ccccc3)c3c2C(c2ccc(F)cc2Br)C(NC(=O)c2cccc(C(F)(F)F)c2)C(=O)N3C)CC1,7.815948486328125,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,C[*:1],0.1757170738318027,c1ccc([*:2])cc1,0.019977828343709394,CC1CCN(C[*:3])CC1,0.6098970884158287,Fc1ccc([*:4])c(Br)c1,0.8025055789947508,O=C(c1cccc(C(F)(F)F)c1)[*:5],1.8855750825670032
187,Cc1cccc(-n2nc(CN3CCCC3)c3c2N(C)C(=O)C(NC(=O)c2ccccc2)C3c2ccc(F)cc2)c1,7.16192626953125,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,C[*:1],0.1757170738318027,Cc1cccc([*:2])c1,-0.35127149518330875,C1CCN(C[*:3])C1,0.535487045476466,Fc1ccc([*:4])cc1,0.3996398401260376,O=C(c1ccccc1)[*:5],1.6844608058100163
188,C=CC(=O)NCc1nn(-c2ccccc2)c2c1C(c1ccc(F)c([N+](=O)[O-])c1)C(NC(=O)c1cccc(C(F)(F)F)n1)C(=O)N2C,6.9465484619140625,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,C[*:1],0.1757170738318027,c1ccc([*:2])cc1,0.019977828343709394,C=CC(=O)NC[*:3],0.5052568247288832,O=[N+]([O-])c1cc([*:4])ccc1F,0.5691048526763915,O=C(c1cccc(C(F)(F)F)n1)[*:5],1.479440180460612
